"individualID","individualIdSource","species","sex","genotype","genotypeBackground","room","litter","matingID","dateBirth","dateDeath","treatmentType","age"
"ApoE4_24M_15",NA,"Mouse","female","APOE4","C57BL/6","Mayo_GB436","ApoE4_24M_15",NA,"2015/06/18","2017/06/30",NA,NA
"ApoE4_24M_6",NA,"Mouse","male","APOE4","C57BL/6","Mayo_GB436","ApoE4_24M_6",NA,"2015/05/01","2017/05/16",NA,NA
"ApoE3_24M_1",NA,"Mouse","male","APOE3","C57BL/6","Mayo_GB436","ApoE3_24M_1",NA,"2015/06/18","2017/06/30",NA,NA
"ApoE4_24M_9",NA,"Mouse","male","APOE4","C57BL/6","Mayo_GB436","ApoE4_24M_9",NA,"2015/05/01","2017/05/16",NA,NA
"ApoE2_24M_8",NA,"Mouse","female","APOE2","C57BL/6","Mayo_GB436","ApoE2_24M_8",NA,"2015/06/15","2017/06/30",NA,NA
"ApoE3_24M_10",NA,"Mouse","female","APOE3","C57BL/6","Mayo_GB436","ApoE3_24M_10",NA,"2015/06/15","2017/06/30",NA,NA
"ApoE3_24M_7",NA,"Mouse","male","APOE3","C57BL/6","Mayo_GB436","ApoE3_24M_7",NA,"2015/06/15","2017/06/30",NA,NA
"ApoE3_12M_4",NA,"Mouse","female","APOE3","C57BL/6","Mayo_GB436","ApoE3_12M_4",NA,"2016/08/06","2017/08/17",NA,NA
"ApoE2_12M_10",NA,"Mouse","female","APOE2","C57BL/6","Mayo_GB436","ApoE2_12M_10",NA,"2016/06/25","2017/07/06",NA,NA
"ApoE4_24M_2",NA,"Mouse","male","APOE4","C57BL/6","Mayo_GB436","ApoE4_24M_2",NA,"2015/08/31","2017/08/18",NA,NA
"ApoE2_24M_12",NA,"Mouse","male","APOE2","C57BL/6","Mayo_GB436","ApoE2_24M_12",NA,"2015/10/07","2017/09/22",NA,NA
"ApoE2_24M_5",NA,"Mouse","female","APOE2","C57BL/6","Mayo_GB436","ApoE2_24M_5",NA,"2015/06/15","2017/06/30",NA,NA
"ApoE2_12M_11",NA,"Mouse","female","APOE2","C57BL/6","Mayo_GB436","ApoE2_12M_11",NA,"2016/06/25","2017/07/06",NA,NA
"ApoE2_12M_12",NA,"Mouse","female","APOE2","C57BL/6","Mayo_GB436","ApoE2_12M_12",NA,"2016/06/25","2017/07/06",NA,NA
"ApoE3_24M_14",NA,"Mouse","female","APOE3","C57BL/6","Mayo_GB436","ApoE3_24M_14",NA,"2015/08/20","2017/08/18",NA,NA
"ApoE4_12M_5",NA,"Mouse","male","APOE4","C57BL/6","Mayo_GB436","ApoE4_12M_5",NA,"2016/07/08","2017/07/11",NA,NA
"ApoE4_12M_11",NA,"Mouse","female","APOE4","C57BL/6","Mayo_GB436","ApoE4_12M_11",NA,"2016/07/08","2017/07/11",NA,NA
"ApoE3_24M_3",NA,"Mouse","male","APOE3","C57BL/6","Mayo_GB436","ApoE3_24M_3",NA,"2015/06/15","2017/06/30",NA,NA
"ApoE4_12M_12",NA,"Mouse","female","APOE4","C57BL/6","Mayo_GB436","ApoE4_12M_12",NA,"2016/07/08","2017/07/11",NA,NA
"ApoE3_12M_6",NA,"Mouse","female","APOE3","C57BL/6","Mayo_GB436","ApoE3_12M_6",NA,"2016/08/06","2017/08/17",NA,NA
"ApoE2_24M_10",NA,"Mouse","male","APOE2","C57BL/6","Mayo_GB436","ApoE2_24M_10",NA,"2015/10/07","2017/09/22",NA,NA
"ApoE2_12M_2",NA,"Mouse","male","APOE2","C57BL/6","Mayo_GB436","ApoE2_12M_2",NA,"2016/08/13","2017/08/17",NA,NA
"ApoE2_24M_6",NA,"Mouse","female","APOE2","C57BL/6","Mayo_GB436","ApoE2_24M_6",NA,"2015/06/15","2017/06/30",NA,NA
"ApoE3_24M_11",NA,"Mouse","female","APOE3","C57BL/6","Mayo_GB436","ApoE3_24M_11",NA,"2015/06/15","2017/06/30",NA,NA
"ApoE3_24M_2",NA,"Mouse","male","APOE3","C57BL/6","Mayo_GB436","ApoE3_24M_2",NA,"2015/06/15","2017/06/30",NA,NA
"ApoE3_12M_16",NA,"Mouse","male","APOE3","C57BL/6","Mayo_GB436","ApoE3_12M_16",NA,"2016/09/23","2017/09/22",NA,NA
"ApoE2_24M_3",NA,"Mouse","female","APOE2","C57BL/6","Mayo_GB436","ApoE2_24M_3",NA,"2015/06/15","2017/06/30",NA,NA
"ApoE2_24M_15",NA,"Mouse","male","APOE2","C57BL/6","Mayo_GB436","ApoE2_24M_15",NA,"2015/09/29","2017/09/22",NA,NA
"ApoE4_24M_13",NA,"Mouse","female","APOE4","C57BL/6","Mayo_GB436","ApoE4_24M_13",NA,"2015/05/01","2017/05/16",NA,NA
"ApoE4_12M_6",NA,"Mouse","male","APOE4","C57BL/6","Mayo_GB436","ApoE4_12M_6",NA,"2016/07/08","2017/07/11",NA,NA
"ApoE4_24M_11",NA,"Mouse","female","APOE4","C57BL/6","Mayo_GB436","ApoE4_24M_11",NA,"2015/05/01","2017/05/16",NA,NA
"ApoE4_24M_14",NA,"Mouse","female","APOE4","C57BL/6","Mayo_GB436","ApoE4_24M_14",NA,"2015/05/01","2017/05/16",NA,NA
"ApoE2_12M_14",NA,"Mouse","female","APOE2","C57BL/6","Mayo_GB436","ApoE2_12M_14",NA,"2016/08/13","2017/08/17",NA,NA
"ApoE2_12M_1",NA,"Mouse","male","APOE2","C57BL/6","Mayo_GB436","ApoE2_12M_1",NA,"2016/06/25","2017/07/06",NA,NA
"ApoE3_12M_3",NA,"Mouse","female","APOE3","C57BL/6","Mayo_GB436","ApoE3_12M_3",NA,"2016/08/06","2017/08/17",NA,NA
"ApoE4_24M_16",NA,"Mouse","female","APOE4","C57BL/6","Mayo_GB436","ApoE4_24M_16",NA,"2015/08/28","2017/08/18",NA,NA
"ApoE4_12M_4",NA,"Mouse","male","APOE4","C57BL/6","Mayo_GB436","ApoE4_12M_4",NA,"2016/07/08","2017/07/11",NA,NA
"ApoE3_12M_13",NA,"Mouse","male","APOE3","C57BL/6","Mayo_GB436","ApoE3_12M_13",NA,"2016/09/23","2017/09/22",NA,NA
"ApoE3_24M_17",NA,"Mouse","female","APOE3","C57BL/6","Mayo_GB436","ApoE3_24M_17",NA,"2015/09/28","2017/09/26",NA,NA
"ApoE2_12M_8",NA,"Mouse","male","APOE2","C57BL/6","Mayo_GB436","ApoE2_12M_8",NA,"2016/06/25","2017/07/06",NA,NA
"ApoE3_24M_8",NA,"Mouse","male","APOE3","C57BL/6","Mayo_GB436","ApoE3_24M_8",NA,"2015/06/15","2017/06/30",NA,NA
"ApoE3_12M_11",NA,"Mouse","male","APOE3","C57BL/6","Mayo_GB436","ApoE3_12M_11",NA,"2016/08/06","2017/08/18",NA,NA
"ApoE4_12M_16",NA,"Mouse","female","APOE4","C57BL/6","Mayo_GB436","ApoE4_12M_16",NA,"2016/07/08","2017/07/11",NA,NA
"ApoE2_24M_2",NA,"Mouse","female","APOE2","C57BL/6","Mayo_GB436","ApoE2_24M_2",NA,"2015/06/15","2017/06/30",NA,NA
"ApoE4_12M_2",NA,"Mouse","male","APOE4","C57BL/6","Mayo_GB436","ApoE4_12M_2",NA,"2016/07/08","2017/07/11",NA,NA
"ApoE2_12M_5",NA,"Mouse","male","APOE2","C57BL/6","Mayo_GB436","ApoE2_12M_5",NA,"2016/06/25","2017/07/06",NA,NA
"ApoE4_24M_10",NA,"Mouse","male","APOE4","C57BL/6","Mayo_GB436","ApoE4_24M_10",NA,"2015/05/01","2017/05/16",NA,NA
"ApoE4_12M_15",NA,"Mouse","female","APOE4","C57BL/6","Mayo_GB436","ApoE4_12M_15",NA,"2016/07/08","2017/07/11",NA,NA
"ApoE3_24M_13",NA,"Mouse","female","APOE3","C57BL/6","Mayo_GB436","ApoE3_24M_13",NA,"2015/08/20","2017/08/18",NA,NA
